ID,Date,Price_alum,Price_gold,Price_nickel,Price_silver,Price_uran,Inflation_rate,Price_alum_infl,Price_gold_infl,Price_nickel_infl,Price_silver_infl,Price_uran_infl
103,13 May 1992,1294.697097,338.6219355,7274.929032,4.066129032,7.627419355,89.5,2454.616226,641.9933275,13792.53795,7.708974032,14.46082435
104,14 May 1992,1293.689355,338.7370968,7270.606452,4.065806452,7.633870968,89.5,2452.705648,642.2116618,13784.34277,7.708362452,14.47305597
105,15 May 1992,1292.681613,338.8522581,7266.283871,4.065483871,7.640322581,89.5,2450.79507,642.4299961,13776.14759,7.707750871,14.48528758
106,16 May 1992,1291.673871,338.9674194,7261.96129,4.06516129,7.646774194,89.5,2448.884492,642.6483304,13767.95241,7.70713929,14.49751919
107,17 May 1992,1290.666129,339.0825806,7257.63871,4.06483871,7.653225806,89.5,2446.973914,642.8666646,13759.75723,7.70652771,14.50975081
108,18 May 1992,1289.658387,339.1977419,7253.316129,4.064516129,7.659677419,89.5,2445.063336,643.0849989,13751.56205,7.705916129,14.52198242
109,19 May 1992,1288.650645,339.3129032,7248.993548,4.064193548,7.666129032,89.5,2443.152758,643.3033332,13743.36687,7.705304548,14.53421403
110,20 May 1992,1287.642903,339.4280645,7244.670968,4.063870968,7.672580645,89.5,2441.24218,643.5216675,13735.17169,7.704692968,14.54644565
111,21 May 1992,1286.635161,339.5432258,7240.348387,4.063548387,7.679032258,89.5,2439.331602,643.7400018,13726.97651,7.704081387,14.55867726
112,22 May 1992,1285.627419,339.6583871,7236.025806,4.063225806,7.685483871,89.5,2437.421024,643.9583361,13718.78133,7.703469806,14.57090887
113,23 May 1992,1284.619677,339.7735484,7231.703226,4.062903226,7.691935484,89.5,2435.510446,644.1766704,13710.58615,7.702858226,14.58314048
114,24 May 1992,1283.611935,339.8887097,7227.380645,4.062580645,7.698387097,89.5,2433.599868,644.3950047,13702.39097,7.702246645,14.5953721
115,25 May 1992,1282.604194,340.003871,7223.058065,4.062258065,7.70483871,89.5,2431.689291,644.613339,13694.19578,7.701635065,14.60760371
116,26 May 1992,1281.596452,340.1190323,7218.735484,4.061935484,7.711290323,89.5,2429.778713,644.8316733,13686.0006,7.701023484,14.61983532
117,27 May 1992,1280.58871,340.2341935,7214.412903,4.061612903,7.717741935,89.5,2427.868135,645.0500075,13677.80542,7.700411903,14.63206694
118,28 May 1992,1279.580968,340.3493548,7210.090323,4.061290323,7.724193548,89.5,2425.957557,645.2683418,13669.61024,7.699800323,14.64429855
119,29 May 1992,1278.573226,340.4645161,7205.767742,4.060967742,7.730645161,89.5,2424.046979,645.4866761,13661.41506,7.699188742,14.65653016
120,30 May 1992,1277.565484,340.5796774,7201.445161,4.060645161,7.737096774,89.5,2422.136401,645.7050104,13653.21988,7.698577161,14.66876177
121,31 May 1992,1276.557742,340.6948387,7197.122581,4.060322581,7.743548387,89.5,2420.225823,645.9233447,13645.0247,7.697965581,14.68099339
122,01 June 1992,1275.55,340.81,7192.8,4.06,7.75,89.5,2418.315245,646.141679,13636.82952,7.697354,14.693225
123,02 June 1992,1276.8,341.207,7202.97,4.057,7.75,89.5,2420.68512,646.8943513,13656.11082,7.6916663,14.693225
124,03 June 1992,1278.05,341.604,7213.14,4.054,7.75,89.5,2423.054995,647.6470236,13675.39213,7.6859786,14.693225
125,04 June 1992,1279.3,342.001,7223.31,4.051,7.75,89.5,2425.42487,648.3996959,13694.67343,7.6802909,14.693225
126,05 June 1992,1280.55,342.398,7233.48,4.048,7.75,89.5,2427.794745,649.1523682,13713.95473,7.6746032,14.693225
127,06 June 1992,1281.8,342.795,7243.65,4.045,7.75,89.5,2430.16462,649.9050405,13733.23604,7.6689155,14.693225
128,07 June 1992,1283.05,343.192,7253.82,4.042,7.75,89.5,2432.534495,650.6577128,13752.51734,7.6632278,14.693225
129,08 June 1992,1284.3,343.589,7263.99,4.039,7.75,89.5,2434.90437,651.4103851,13771.79864,7.6575401,14.693225
130,09 June 1992,1285.55,343.986,7274.16,4.036,7.75,89.5,2437.274245,652.1630574,13791.07994,7.6518524,14.693225
131,10 June 1992,1286.8,344.383,7284.33,4.033,7.75,89.5,2439.64412,652.9157297,13810.36125,7.6461647,14.693225
132,11 June 1992,1288.05,344.78,7294.5,4.03,7.75,89.5,2442.013995,653.668402,13829.64255,7.640477,14.693225
133,12 June 1992,1289.3,345.177,7304.67,4.027,7.75,89.5,2444.38387,654.4210743,13848.92385,7.6347893,14.693225
134,13 June 1992,1290.55,345.574,7314.84,4.024,7.75,89.5,2446.753745,655.1737466,13868.20516,7.6291016,14.693225
135,14 June 1992,1291.8,345.971,7325.01,4.021,7.75,89.5,2449.12362,655.9264189,13887.48646,7.6234139,14.693225
136,15 June 1992,1293.05,346.368,7335.18,4.018,7.75,89.5,2451.493495,656.6790912,13906.76776,7.6177262,14.693225
137,16 June 1992,1294.3,346.765,7345.35,4.015,7.75,89.5,2453.86337,657.4317635,13926.04907,7.6120385,14.693225
138,17 June 1992,1295.55,347.162,7355.52,4.012,7.75,89.5,2456.233245,658.1844358,13945.33037,7.6063508,14.693225
139,18 June 1992,1296.8,347.559,7365.69,4.009,7.75,89.5,2458.60312,658.9371081,13964.61167,7.6006631,14.693225
140,19 June 1992,1298.05,347.956,7375.86,4.006,7.75,89.5,2460.972995,659.6897804,13983.89297,7.5949754,14.693225
141,20 June 1992,1299.3,348.353,7386.03,4.003,7.75,89.5,2463.34287,660.4424527,14003.17428,7.5892877,14.693225
142,21 June 1992,1300.55,348.75,7396.2,4,7.75,89.5,2465.712745,661.195125,14022.45558,7.5836,14.693225
143,22 June 1992,1301.8,349.147,7406.37,3.997,7.75,89.5,2468.08262,661.9477973,14041.73688,7.5779123,14.693225
144,23 June 1992,1303.05,349.544,7416.54,3.994,7.75,89.5,2470.452495,662.7004696,14061.01819,7.5722246,14.693225
145,24 June 1992,1304.3,349.941,7426.71,3.991,7.75,89.5,2472.82237,663.4531419,14080.29949,7.5665369,14.693225
146,25 June 1992,1305.55,350.338,7436.88,3.988,7.75,89.5,2475.192245,664.2058142,14099.58079,7.5608492,14.693225
147,26 June 1992,1306.8,350.735,7447.05,3.985,7.75,89.5,2477.56212,664.9584865,14118.86209,7.5551615,14.693225
148,27 June 1992,1308.05,351.132,7457.22,3.982,7.75,89.5,2479.931995,665.7111588,14138.1434,7.5494738,14.693225
149,28 June 1992,1309.3,351.529,7467.39,3.979,7.75,89.5,2482.30187,666.4638311,14157.4247,7.5437861,14.693225
150,29 June 1992,1310.55,351.926,7477.56,3.976,7.75,89.5,2484.671745,667.2165034,14176.706,7.5380984,14.693225
151,30 June 1992,1311.8,352.323,7487.73,3.973,7.75,89.5,2487.04162,667.9691757,14195.98731,7.5324107,14.693225
152,01 July 1992,1313.05,352.72,7497.9,3.97,7.75,89.5,2489.411495,668.721848,14215.26861,7.526723,14.693225
153,02 July 1992,1312.791935,352.4083871,7490.483871,3.96483871,7.759677419,89.5,2488.92223,668.1310611,14201.20837,7.51693771,14.71157242
154,03 July 1992,1312.533871,352.0967742,7483.067742,3.959677419,7.769354839,89.5,2488.432966,667.5402742,14187.14813,7.507152419,14.72991984
155,04 July 1992,1312.275806,351.7851613,7475.651613,3.954516129,7.779032258,89.5,2487.943701,666.9494873,14173.08789,7.497367129,14.74826726
156,05 July 1992,1312.017742,351.4735484,7468.235484,3.949354839,7.788709677,89.5,2487.454437,666.3587004,14159.02765,7.487581839,14.76661468
157,06 July 1992,1311.759677,351.1619355,7460.819355,3.944193548,7.798387097,89.5,2486.965172,665.7679135,14144.96741,7.477796548,14.7849621
158,07 July 1992,1311.501613,350.8503226,7453.403226,3.939032258,7.808064516,89.5,2486.475908,665.1771266,14130.90718,7.468011258,14.80330952
159,08 July 1992,1311.243548,350.5387097,7445.987097,3.933870968,7.817741935,89.5,2485.986643,664.5863397,14116.84694,7.458225968,14.82165694
160,09 July 1992,1310.985484,350.2270968,7438.570968,3.928709677,7.827419355,89.5,2485.497379,663.9955528,14102.7867,7.448440677,14.84000435
161,10 July 1992,1310.727419,349.9154839,7431.154839,3.923548387,7.837096774,89.5,2485.008114,663.4047659,14088.72646,7.438655387,14.85835177
162,11 July 1992,1310.469355,349.603871,7423.73871,3.918387097,7.846774194,89.5,2484.51885,662.813979,14074.66622,7.428870097,14.87669919
163,12 July 1992,1310.21129,349.2922581,7416.322581,3.913225806,7.856451613,89.5,2484.029585,662.2231921,14060.60598,7.419084806,14.89504661
164,13 July 1992,1309.953226,348.9806452,7408.906452,3.908064516,7.866129032,89.5,2483.540321,661.6324052,14046.54574,7.409299516,14.91339403
165,14 July 1992,1309.695161,348.6690323,7401.490323,3.902903226,7.875806452,89.5,2483.051056,661.0416183,14032.4855,7.399514226,14.93174145
166,15 July 1992,1309.437097,348.3574194,7394.074194,3.897741935,7.885483871,89.5,2482.561792,660.4508314,14018.42526,7.389728935,14.95008887
167,16 July 1992,1309.179032,348.0458065,7386.658065,3.892580645,7.89516129,89.5,2482.072527,659.8600445,14004.36502,7.379943645,14.96843629
168,17 July 1992,1308.920968,347.7341935,7379.241935,3.887419355,7.90483871,89.5,2481.583263,659.2692575,13990.30479,7.370158355,14.98678371
169,18 July 1992,1308.662903,347.4225806,7371.825806,3.882258065,7.914516129,89.5,2481.093998,658.6784706,13976.24455,7.360373065,15.00513113
170,19 July 1992,1308.404839,347.1109677,7364.409677,3.877096774,7.924193548,89.5,2480.604734,658.0876837,13962.18431,7.350587774,15.02347855
171,20 July 1992,1308.146774,346.7993548,7356.993548,3.871935484,7.933870968,89.5,2480.115469,657.4968968,13948.12407,7.340802484,15.04182597
172,21 July 1992,1307.88871,346.4877419,7349.577419,3.866774194,7.943548387,89.5,2479.626205,656.9061099,13934.06383,7.331017194,15.06017339
173,22 July 1992,1307.630645,346.176129,7342.16129,3.861612903,7.953225806,89.5,2479.13694,656.315323,13920.00359,7.321231903,15.07852081
174,23 July 1992,1307.372581,345.8645161,7334.745161,3.856451613,7.962903226,89.5,2478.647676,655.7245361,13905.94335,7.311446613,15.09686823
175,24 July 1992,1307.114516,345.5529032,7327.329032,3.851290323,7.972580645,89.5,2478.158411,655.1337492,13891.88311,7.301661323,15.11521565
176,25 July 1992,1306.856452,345.2412903,7319.912903,3.846129032,7.982258065,89.5,2477.669147,654.5429623,13877.82287,7.291876032,15.13356306
177,26 July 1992,1306.598387,344.9296774,7312.496774,3.840967742,7.991935484,89.5,2477.179882,653.9521754,13863.76263,7.282090742,15.15191048
178,27 July 1992,1306.340323,344.6180645,7305.080645,3.835806452,8.001612903,89.5,2476.690618,653.3613885,13849.7024,7.272305452,15.1702579
179,28 July 1992,1306.082258,344.3064516,7297.664516,3.830645161,8.011290323,89.5,2476.201353,652.7706016,13835.64216,7.262520161,15.18860532
180,29 July 1992,1305.824194,343.9948387,7290.248387,3.825483871,8.020967742,89.5,2475.712089,652.1798147,13821.58192,7.252734871,15.20695274
181,30 July 1992,1305.566129,343.6832258,7282.832258,3.820322581,8.030645161,89.5,2475.222824,651.5890278,13807.52168,7.242949581,15.22530016
182,31 July 1992,1305.308065,343.3716129,7275.416129,3.81516129,8.040322581,89.5,2474.73356,650.9982409,13793.46144,7.23316429,15.24364758
183,01 August 1992,1305.05,343.06,7268,3.81,8.05,89.5,2474.244295,650.407454,13779.4012,7.223379,15.261995
184,02 August 1992,1303.906774,343.1364516,7256.693548,3.808709677,8.072580645,89.5,2472.076853,650.5523986,13757.9653,7.220932677,15.30480565
185,03 August 1992,1302.763548,343.2129032,7245.387097,3.807419355,8.09516129,89.5,2469.909411,650.6973432,13736.5294,7.218486355,15.34761629
186,04 August 1992,1301.620323,343.2893548,7234.080645,3.806129032,8.117741935,89.5,2467.74197,650.8422878,13715.0935,7.216040032,15.39042694
187,05 August 1992,1300.477097,343.3658065,7222.774194,3.80483871,8.140322581,89.5,2465.574528,650.9872325,13693.65759,7.21359371,15.43323758
188,06 August 1992,1299.333871,343.4422581,7211.467742,3.803548387,8.162903226,89.5,2463.407086,651.1321771,13672.22169,7.211147387,15.47604823
189,07 August 1992,1298.190645,343.5187097,7200.16129,3.802258065,8.185483871,89.5,2461.239644,651.2771217,13650.78579,7.208701065,15.51885887
190,08 August 1992,1297.047419,343.5951613,7188.854839,3.800967742,8.208064516,89.5,2459.072202,651.4220663,13629.34989,7.206254742,15.56166952
191,09 August 1992,1295.904194,343.6716129,7177.548387,3.799677419,8.230645161,89.5,2456.904761,651.5670109,13607.91399,7.203808419,15.60448016
192,10 August 1992,1294.760968,343.7480645,7166.241935,3.798387097,8.253225806,89.5,2454.737319,651.7119555,13586.47809,7.201362097,15.64729081
193,11 August 1992,1293.617742,343.8245161,7154.935484,3.797096774,8.275806452,89.5,2452.569877,651.8569001,13565.04218,7.198915774,15.69010145
194,12 August 1992,1292.474516,343.9009677,7143.629032,3.795806452,8.298387097,89.5,2450.402435,652.0018447,13543.60628,7.196469452,15.7329121
195,13 August 1992,1291.33129,343.9774194,7132.322581,3.794516129,8.320967742,89.5,2448.234993,652.1467894,13522.17038,7.194023129,15.77572274
196,14 August 1992,1290.188065,344.053871,7121.016129,3.793225806,8.343548387,89.5,2446.067552,652.291734,13500.73448,7.191576806,15.81853339
197,15 August 1992,1289.044839,344.1303226,7109.709677,3.791935484,8.366129032,89.5,2443.90011,652.4366786,13479.29858,7.189130484,15.86134403
198,16 August 1992,1287.901613,344.2067742,7098.403226,3.790645161,8.388709677,89.5,2441.732668,652.5816232,13457.86268,7.186684161,15.90415468
199,17 August 1992,1286.758387,344.2832258,7087.096774,3.789354839,8.411290323,89.5,2439.565226,652.7265678,13436.42677,7.184237839,15.94696532
